"","ENTREZID","SYMBOL"
"1","16451","Jak1"
"2","19247","Ptpn11"
"3","16176","Il1b"
"4","18753","Prkcd"
"5","19106","Eif2ak2"
"6","20375","Spi1"
"7","15980","Ifngr2"
"8","16452","Jak2"
"9","16391","Irf9"
"10","17329","Cxcl9"
"11","15945","Cxcl10"
"12","16912","Psmb9"
"13","15900","Irf8"
"14","100038882","Isg15"
"15","16363","Irf2"
"16","16362","Irf1"
"17","18126","Nos2"
"18","21354","Tap1"
"19","15894","Icam1"
"20","16364","Irf4"
"21","20847","Stat2"
"22","19692","Reg1"
"23","20846","Stat1"
"24","97122","H4c14"
"25","12702","Socs3"
"26","12703","Socs1"
"27","15958","Ifit2"
"28","14468","Gbp2b"
"29","12265","Ciita"
"30","102641229",NA
"31","13058","Cybb"
"32","15979","Ifngr1"
"33","15978","Ifng"
"34","15977","Ifnb1"
